STATION_NAME,LATITUDE,LONGITUDE,MODEL,YEAR_START,YEAR_END,SCENARIO
Monterey Park,34.059530000000000,-118.12661000000000,Ioniq 5 N,2025,2025,native only
"Las Vegas, NV",36.066487600000000,-115.17950700000000,Ioniq 5,2022,2024,native only
Emser International,34.063430000000000,-118.36870000000000,Ioniq 5 N,2025,2025,native only
CITY_OF_VERNON 1850 E25TH-6,34.014444000000000,-118.23802600000000,Ioniq 6,2026,,native only
Caltrans - Clyde V. Kane Rest Area - Southbound,35.034153000000000,-116.47144700000000,Kona Electric,2019,2025,native only
820 Mound Ave,34.116707000000000,-118.15159800000000,Ioniq 5,2022,2024,native only
"Walmart 1879 (Barstow, CA)",34.883720000000000,-116.99251000000000,Ioniq 6,2022,2025,native only
KMC Norfolk,34.062387000000000,-118.20418260000000,Ioniq 5 N,2025,2025,native only
RC SPORTS EVHUB MIDDLE,34.102745000000000,-117.54397000000000,Ioniq 5 N,2025,2025,native only
"BoA Gateway CA8-113 (Glendale, CA)",34.126080000000000,-118.25597000000000,Ioniq 6,2022,2025,native only
7-ELEVEN 20101 POMNA DC1,34.067274000000000,-117.71905700000000,Ioniq 9,2026,,native only
"Circle K - Victorville, CA",34.484505427885200,-117.33051763372900,Ioniq 6,2022,2025,native only
City of Los Angeles Lot 639,34.108426000000000,-118.19387300000000,Ioniq 6,2022,2025,native only
Central & Walnut - Tesla Supercharger,34.026990000000000,-117.68730100000000,Ioniq 9,2026,,native only
JLR HENDERSON ABB 01,36.053452000000000,-115.02825800000000,Ioniq 5 N,2025,2025,native only
CITY_OF_VERNON 3805 SOTO-6,34.007957000000000,-118.21989500000000,Kona Electric,2019,2025,native only
L344 3RD FLOOR MBZ,34.035409000000000,-118.27229600000000,Ioniq 6,2022,2025,native only
AMPM ARCO BEAR VALLEY 1,34.470115000000000,-117.31284400000000,Ioniq 6,2022,2025,native only
"Dunhill - Shoppes at Chino Hills (Chino Hills, CA)",34.000247300000000,-117.72841960000000,Ioniq 6,2022,2025,native only
City of Pasadena - Shopper's Lane,34.138606025541100,-118.13112326151200,Kona Electric,2019,2025,native only
Las Vegas - South Nellis Boulevard - Tesla Supercharger,36.144821000000000,-115.06351000000000,Ioniq 9,2026,,native only
FINDLAY AUTO ABB STATION1,36.143714000000000,-115.21425600000000,Ioniq 5,2022,2024,native only
Honda DTLA,34.010828320642500,-118.28703020000000,Ioniq 6,2022,2025,native only
Motel 6 Chino,34.031418000000000,-117.69093210000000,Ioniq 6,2022,2025,native only
"Kroger Smiths 354 (Whitney, NV)",36.116670000000000,-115.09163000000000,Ioniq 6,2022,2025,native only
Gaudin Ford,36.064736000000000,-115.23674100000000,Ioniq 5 N,2025,2025,native only
Trader Joe's,34.024883000000000,-118.39244800000000,Ioniq 6,2022,2025,native only
"Alhambra, CA - Tesla Supercharger",34.087063000000000,-118.15119600000000,Ioniq 9,2026,,native only
CSULA Parking Structure E,34.070532000000000,-118.16780200000000,Ioniq 5,2022,2024,native only
LADWP LA Kretz Innovation Campus,34.040460000000000,-118.23502000000000,Ioniq 5 N,2025,2025,native only
"Las Vegas, NV - Cambridge St - Tesla Supercharger",36.128731000000000,-115.14374000000000,Ioniq 6,2026,,native only
Hilton Plaza,34.080257000000000,-118.10265600000000,Ioniq 5,2022,2024,native only
City of Los Angeles Lot 657,34.072877000000000,-118.21769000000000,Ioniq 6,2026,,native only
LA County DHS 313 Fig,34.060148000000000,-118.25074700000000,Ioniq 5 N,2025,2025,native only
MIDTOWN LA MIDTOWN DC,34.047397000000000,-118.33611300000000,Ioniq 5 N,2026,2026,with adapter
3530 West Century Blvd,33.944524100000000,-118.33324560000000,Ioniq 6,2026,,with adapter
"Ralphs 32 (Los Angeles, CA)",34.068540000000000,-118.29112000000000,Ioniq 5,2025,2026,with adapter
Culver City Senior Center,34.014540000000000,-118.40405000000000,Ioniq 5 N,2026,2026,with adapter
Fairway Chevrolet,36.145332000000000,-115.10693200000000,Ioniq 6,2026,,with adapter
City National Plaza,34.052093700000000,-118.25523390000000,Ioniq 5,2022,2024,with adapter
WattEV - Vernon (Bandini Blvd),34.003200000000000,-118.18745000000000,Ioniq 6,2022,2025,with adapter
Rialto Village,34.073740000000000,-117.37058000000000,Ioniq 6,2026,,with adapter
MINI of Monrovia,34.136472000000000,-117.98718700000000,Ioniq 5 N,2025,2025,with adapter
"Los Angeles, CA - Industrial Street - Tesla Supercharger",34.035783000000000,-118.23835900000000,Ioniq 5,2025,2026,with adapter
California Institute of Technology - North Wilson Parking Structure,34.139958000000000,-118.12844600000000,Ioniq 6,2022,2025,with adapter
California Institute of Technology - North Wilson Parking Structure,34.139958000000000,-118.12844600000000,Ioniq 5 N,2026,2026,with adapter
Fountainebleau,36.138658700000000,-115.16036550000000,Kona Electric,2019,2025,with adapter
"Montebello Plaza (Montebello , CA)",34.031070000000000,-118.12404000000000,Ioniq 5,2022,2024,with adapter
"Upland, CA - Arrow Rte - Tesla Supercharger",34.099154000000000,-117.70019200000000,Ioniq 6,2022,2025,with adapter
Maine Avenue Marketplace,34.090066000000000,-117.96083110000000,Ioniq 6,2022,2025,with adapter
Friendly Ford,36.178163000000000,-115.20558200000000,Ioniq 5,2022,2024,with adapter
Caltrans - Clyde V. Kane Rest Area - Northbound,35.031900000000000,-116.46912800000000,Kona Electric,2019,2025,with adapter
LADWP - Crenshaw,34.012230000000000,-118.33432300000000,Ioniq 5 N,2026,2026,with adapter
Downey Nissan,33.947674638000000,-118.15152577300000,Ioniq 5,2025,2026,with adapter
City of Los Angeles Lot 675,34.103853000000000,-118.29105200000000,Ioniq 5 N,2026,2026,with adapter
"Hesperia, CA - Main Street - Tesla Supercharger",34.426362000000000,-117.35465000000000,Ioniq 5 N,2025,2025,with adapter
Park Towers at Hughes Center,36.115304500000000,-115.15677400000000,Ioniq 5 N,2026,2026,with adapter
"Kroger Smiths 354 (Whitney, NV)",36.116670000000000,-115.09163000000000,Ioniq 9,2026,,with adapter
IN-N-OUT ATLANTIC 05,33.977354000000000,-118.18756900000000,Ioniq 9,2026,,with adapter
"Universal City, CA - Tesla Supercharger",34.138042000000000,-118.35927200000000,Ioniq 5,2022,2024,with adapter
"Forum Shops at Caesars Palace (Las Vegas, NV)",36.119740000000000,-115.17691000000000,Ioniq 5,2022,2024,with adapter
"Montebello, CA - N Wilcox Ave - Tesla Supercharger",34.031001000000000,-118.12593500000000,Ioniq 5,2022,2024,with adapter
76 San Gabriel,34.103300000000000,-118.09950000000000,Ioniq 5,2022,2024,with adapter
US Bank San Gabriel,34.103709800000000,-118.08949900000000,Ioniq 5,2025,2026,with adapter
B&D PROP MGMT 2645 ST ROSE,36.014271000000000,-115.10318500000000,Ioniq 6,2022,2025,with adapter
Ford Country,36.048478000000000,-115.02823000000000,Ioniq 5,2025,2026,with adapter
CITY_OF_VERNON 3805 SOTO-7,34.007973000000000,-118.21989600000000,Ioniq 6,2026,,with adapter
Caltrans - Clyde V. Kane Rest Area - Southbound,35.034153000000000,-116.47144700000000,Ioniq 6,2026,,with adapter
Onyx Towers,34.062740000000000,-118.36189000000000,Ioniq 6,2026,,with adapter
"Las Vegas, NV - South Fort Apache Road - Tesla Supercharger",36.093958000000000,-115.29710800000000,Ioniq 9,2026,,with adapter
City of Los Angeles Lot 657,34.072877000000000,-118.21769000000000,Ioniq 6,2026,,with adapter
HollyWest Promenade,34.102350000000000,-118.30887000000000,Ioniq 5,2025,2026,with adapter
H&S ENERGY H&S#20 CHEVRON,34.034767000000000,-118.09062900000000,Ioniq 5,2022,2024,with adapter
US Bank 3355 Glendale,34.119663300000000,-118.25953740000000,Ioniq 5,2025,2026,with adapter
"Inglewood, CA - Tesla Supercharger",33.944904000000000,-118.33438400000000,Ioniq 6,2026,,with adapter
"Los Angeles, CA - Venice Boulevard - Tesla Supercharger",34.027975000000000,-118.39414400000000,Ioniq 9,2026,,with adapter
City of Los Angeles Lot 745,34.101781000000000,-118.33989400000000,Ioniq 6,2026,,with adapter
"Las Vegas, NV - 3821 West Charleston Boulevard - Tesla Supercharger",36.158707000000000,-115.19099000000000,Ioniq 5,2022,2024,with adapter
"Las Vegas, NV",36.066487600000000,-115.17950700000000,Ioniq 5,2022,2024,with adapter
"Las Vegas, NV - West Craig Road - Tesla Supercharger",36.239055000000000,-115.24980200000000,Ioniq 5 N,2025,2025,with adapter
"West Covina, CA - 1414 S Azusa Ave - Tesla Supercharger",34.047677000000000,-117.90707500000000,Ioniq 6,2026,,with adapter
"Hacienda Heights, CA - Tesla Supercharger",34.010078000000000,-117.96116900000000,Ioniq 5,2025,2026,with adapter
"Los Angeles, CA - Industrial Street - Tesla Supercharger",34.035783000000000,-118.23835900000000,Ioniq 5,2022,2024,with adapter
The Elysian - Tenants Only,34.066624000000000,-118.24822700000000,Ioniq 9,2026,,with adapter
City of Los Angeles Lot 639,34.108426000000000,-118.19387300000000,Ioniq 6,2022,2025,with adapter
City of Los Angeles Lot 639,34.108426000000000,-118.19387300000000,Ioniq 6,2026,,with adapter
L344 3RD FLOOR MBZ,34.035409000000000,-118.27229600000000,Ioniq 6,2022,2025,with adapter
PowerStation - Rasor Rd,35.134718200000000,-116.21681310000000,Ioniq 5,2025,2026,with adapter
"Las Vegas, NV - South Town Center Drive - Tesla Supercharger",36.145430000000000,-115.32712100000000,Ioniq 5 N,2026,2026,with adapter
"Las Vegas, NV - South Decatur Boulevard - Tesla Supercharger",36.171532000000000,-115.20723300000000,Ioniq 6,2022,2025,with adapter
Claremont Star,34.107625900000000,-117.72058890000000,Ioniq 5 N,2026,2026,with adapter
"Las Vegas, NV - West Russell Road - Tesla Supercharger",36.086723000000000,-115.21072600000000,Ioniq 5 N,2025,2025,with adapter
San Dimas Plaza Shopping Center,34.107530000000000,-117.82649000000000,Ioniq 5,2022,2024,with adapter
CITY_OF_VERNON 1850 E25TH-4,34.014472000000000,-118.23798500000000,Ioniq 6,2026,,with adapter
820 Mound Ave,34.116707000000000,-118.15159800000000,Ioniq 5 N,2026,2026,with adapter
Motel 6 Chino,34.031418000000000,-117.69093210000000,Ioniq 6,2022,2025,with adapter
FINDLAY AUTO ABB STATION1,36.143714000000000,-115.21425600000000,Ioniq 6,2026,,with adapter
RANCHOCUCAMONGA DCFC CITY HALL,34.103720000000000,-117.57447700000000,Ioniq 6,2026,,with adapter
CITY_OF_VERNON 1850 E25TH-10,34.014380000000000,-118.23810800000000,Ioniq 5 N,2025,2025,with adapter
Park Towers at Hughes Center,36.115304500000000,-115.15677400000000,Ioniq 5,2025,2026,with adapter
Park Towers at Hughes Center,36.115304500000000,-115.15677400000000,Kona Electric,2019,2025,with adapter
WinCo Las Vegas #113,36.270447000000000,-115.20889200000000,Ioniq 6,2022,2025,with adapter
LA Fitness Baldwin Park,34.069344000000000,-117.97454200000000,Ioniq 5 N,2025,2025,with adapter
CITY_OF_VERNON 1850 E25TH-8,34.014405000000000,-118.23806900000000,Ioniq 5 N,2026,2026,with adapter
Metro Nissan of Montclair,34.082222000000000,-117.69490300000000,Ioniq 5,2025,2026,with adapter
1820 Industrial,34.035224000000000,-118.23392000000000,Kona Electric,2019,2025,with adapter
Trader Joe's,34.024883000000000,-118.39244800000000,Ioniq 6,2022,2025,with adapter
Sharp Capital,34.052690000000000,-118.26533000000000,Ioniq 5 N,2025,2025,with adapter
"San Gabriel, CA - Tesla Supercharger",34.077496000000000,-118.10012800000000,Ioniq 6,2026,,with adapter
"Barstow, CA",34.851349000000000,-117.08257800000000,Ioniq 5 N,2025,2025,with adapter
Puente Hills Nissan,33.998192000000000,-117.92814600000000,Ioniq 5,2022,2024,with adapter
"Hesperia, CA - Tesla Supercharger",34.424701000000000,-117.38573800000000,Ioniq 6,2026,,with adapter
"Vernon, CA - Tesla Supercharger",34.008045000000000,-118.22020100000000,Ioniq 6,2022,2025,with adapter
ONTARIO HYUNDAI VEHICLE DISPLY2,34.050028000000000,-117.54805700000000,Ioniq 9,2026,,with adapter
3530 West Century Blvd,33.944524100000000,-118.33324560000000,Ioniq 5,2022,2024,with adapter
Culver City Senior Center,34.014540000000000,-118.40405000000000,Ioniq 6,2026,,with adapter
Fairway Chevrolet,36.145332000000000,-115.10693200000000,Ioniq 9,2026,,with adapter
City National Plaza,34.052093700000000,-118.25523390000000,Ioniq 6,2026,,with adapter
Emser International,34.063430000000000,-118.36870000000000,Ioniq 5 N,2025,2025,with adapter
1310 W Baseline Rd,34.122101000000000,-117.39687900000000,Ioniq 6,2026,,with adapter
"Las Vegas, NV - South Maryland Parkway - Tesla Supercharger",36.030077000000000,-115.13584300000000,Kona Electric,2019,2025,with adapter
Jordan Downs,33.946716000000000,-118.22994000000000,Ioniq 6,2026,,with adapter
LA County ISD Walt Disney Parking Garage P3,34.055505000000000,-118.24885200000000,Ioniq 5 N,2025,2025,with adapter
Diamond Creek Village Shopping Center,33.998580000000000,-117.84349000000000,Ioniq 5,2025,2026,with adapter
Inter Community Hospital Covina,34.089977300000000,-117.89255872601200,Ioniq 5 N,2025,2025,with adapter
515 Flower - Level A,34.051648300000000,-118.25688330000000,Kona Electric,2019,2025,with adapter
"BOA LA Chinatown CA9-167 (Los Angeles, CA)",34.063310000000000,-118.23718000000000,Ioniq 6,2022,2025,with adapter
CITY_OF_VERNON 3805 SOTO-6,34.007957000000000,-118.21989500000000,Kona Electric,2019,2025,with adapter
JLR HENDERSON ABB 01,36.053452000000000,-115.02825800000000,Kona Electric,2019,2025,with adapter
"Dunhill - Shoppes at Chino Hills (Chino Hills, CA)",34.000247300000000,-117.72841960000000,Ioniq 6,2022,2025,with adapter
"Dunhill - Shoppes at Chino Hills (Chino Hills, CA)",34.000247300000000,-117.72841960000000,Kona Electric,2019,2025,with adapter
"Ontario, CA - Mills Circle - Tesla Supercharger",34.071708000000000,-117.55616000000000,Ioniq 5,2025,2026,with adapter
Vons #2261 3rd St.,34.070012400000000,-118.29028300000000,Ioniq 9,2026,,with adapter
"Hesperia, CA - Main Street - Tesla Supercharger",34.426362000000000,-117.35465000000000,Ioniq 9,2026,,with adapter
"BoA Gateway CA8-113 (Glendale, CA)",34.126080000000000,-118.25597000000000,Ioniq 5,2025,2026,with adapter
"BOA CA9-164 (South Pasadena, CA)",34.115130000000000,-118.15129000000000,Ioniq 5 N,2025,2025,with adapter
Las Vegas - South Nellis Boulevard - Tesla Supercharger,36.144821000000000,-115.06351000000000,Ioniq 9,2026,,with adapter
"City of Industry, CA - Gale Avenue - Tesla Supercharger",33.994491000000000,-117.89956900000000,Ioniq 9,2026,,with adapter
RC SPORTS EVHUB MIDDLE,34.102745000000000,-117.54397000000000,Ioniq 5 N,2025,2025,with adapter
CSULA Parking Structure B,34.065661000000000,-118.17018900000000,Ioniq 5 N,2026,2026,with adapter
CITY_OF_VERNON 1850 E25TH-3,34.014481000000000,-118.23795800000000,Ioniq 6,2022,2025,with adapter
"Las Vegas, NV - Cambridge St - Tesla Supercharger",36.128731000000000,-115.14374000000000,Ioniq 5,2022,2024,with adapter
6250 Hollywood Blvd DCFC,34.100840000000000,-118.32541000000000,Ioniq 5,2025,2026,with adapter
US Bank San Gabriel,34.103709800000000,-118.08949900000000,Ioniq 5,2022,2024,with adapter
"Diamond Bar, CA - Golden Springs Drive - Tesla Supercharger",33.999023000000000,-117.84384400000000,Ioniq 5 N,2026,2026,with adapter
CITY_OF_VERNON 3805 SOTO-7,34.007973000000000,-118.21989600000000,Ioniq 5,2022,2024,with adapter
"Forum Shops at Caesars Palace (Las Vegas, NV)",36.119740000000000,-115.17691000000000,Ioniq 9,2026,,with adapter
"North Las Vegas, NV - East Lake Mead South Boulevard - Tesla Supercharger",36.195978000000000,-115.13200700000000,Ioniq 5,2022,2024,with adapter
Site 2,36.283102000000000,-115.02908300000000,Ioniq 5 N,2026,2026,with adapter
Plaza Continental - Tesla Supercharger,34.068715000000000,-117.57421800000000,Ioniq 5,2025,2026,with adapter
US Bank 3355 Glendale,34.119663300000000,-118.25953740000000,Ioniq 6,2022,2025,with adapter
ONTARIO HYUNDAI VEHICLE DISPLY1,34.049976000000000,-117.54789800000000,Ioniq 5 N,2026,2026,with adapter
LA County DHS 313 Fig,34.060148000000000,-118.25074700000000,Ioniq 5,2022,2024,with adapter
"Victorville, CA - Amargosa Road - Tesla Supercharger",34.463006000000000,-117.35421800000000,Kona Electric,2019,2025,with adapter
5420 Sunset - Tesla Supercharger (5420 Sunset),34.096946130000000,-118.30766880000000,Ioniq 5 N,2026,2026,with adapter
Culver - Motor Structure 1st Floor,34.015769507079150,-118.40445194626264,Ioniq 5,2025,2026,with adapter
Culver - Motor Structure 1st Floor,34.015769507079150,-118.40445194626264,Ioniq 9,2026,,with adapter
"Las Vegas, NV - Grand Central Parkway - Tesla Supercharger",36.166039000000000,-115.15917000000000,Ioniq 5 N,2026,2026,with adapter
FH DELIVERY 123FC FH SVC,34.133956000000000,-117.43697400000000,Ioniq 5 N,2026,2026,with adapter
"Kroger Smiths 305 (Sunrise, NV)",36.173860000000000,-115.09644000000000,Ioniq 9,2026,,with adapter
"Walmart 2886 (Pico Rivera, CA)",33.986450000000000,-118.10495000000000,Ioniq 5,2025,2026,with adapter
"Vernon, CA - Tesla Supercharger",34.008045000000000,-118.22020100000000,Ioniq 5,2025,2026,with adapter
FH DELIVERY 121A4 FH SVC,34.133796000000000,-117.43710300000000,Ioniq 5,2025,2026,with adapter
"Las Vegas, NV - East Sahara Avenue - Tesla Supercharger",36.145396000000000,-115.10297800000000,Ioniq 5 N,2025,2025,with adapter
H&S ENERGY H&S#23 CHEVRON,34.046069000000000,-117.80259600000000,Kona Electric,2019,2025,with adapter
"Vernon, CA - E 25th St - Tesla Supercharger",34.014266000000000,-118.23827100000000,Ioniq 5 N,2026,2026,with adapter
SCAQMD Offices,34.001519000000000,-117.83051900000000,Ioniq 6,2022,2025,with adapter
El Centro,34.101510000000000,-118.32467000000000,Ioniq 9,2026,,with adapter
Chevrolet of Puente Hills,33.997758000000000,-117.92869900000000,Ioniq 5,2022,2024,with adapter
"Walmart 4340 (Hesperia, CA)",34.424540000000000,-117.37148000000000,Ioniq 6,2022,2025,with adapter
Las Vegas,35.999436000000000,-115.17175500000000,Ioniq 9,2026,,with adapter
"IKEA 413 Los Angeles (Covina, CA)",34.074180000000000,-117.88100000000000,Ioniq 5,2025,2026,with adapter
City of Pasadena - Marengo Garage,34.144703000000000,-118.14695700000000,Ioniq 5,2022,2024,with adapter
CITY_OF_VERNON 3805 SOTO-6,34.007957000000000,-118.21989500000000,Ioniq 6,2022,2025,with adapter
"Shopcore One Colorado (Pasadena, CA)",34.146620000000000,-118.14963000000000,Ioniq 5 N,2026,2026,with adapter
AMPM ARCO BEAR VALLEY 2,34.470448000000000,-117.31275100000000,Ioniq 9,2026,,with adapter
"Pomona, CA - Rio Rancho Road - Tesla Supercharger",34.028502000000000,-117.76035400000000,Ioniq 6,2022,2025,with adapter
Resort World Las Vegas,36.135200000000000,-115.16760000000000,Ioniq 6,2026,,with adapter
CITY_OF_VERNON 1850 E25TH-7,34.014426000000000,-118.23804700000000,Ioniq 5,2025,2026,with adapter
820 Mound Ave,34.116707000000000,-118.15159800000000,Ioniq 5,2022,2024,with adapter
LADWP LA Kretz Innovation Campus,34.040460000000000,-118.23502000000000,Ioniq 5 N,2025,2025,with adapter
"Target T0767 (San Dimas, CA)",34.103250000000000,-117.82342000000000,Ioniq 6,2022,2025,with adapter
CITY_OF_VERNON 1850 E25TH-3,34.014481000000000,-118.23795800000000,Ioniq 5 N,2025,2025,with adapter
"Kroger Smiths 354 (Whitney, NV)",36.116670000000000,-115.09163000000000,Kona Electric,2019,2025,with adapter
Hilton Plaza,34.080257000000000,-118.10265600000000,Ioniq 5,2022,2024,with adapter
"North Las Vegas, NV - East Lake Mead South Boulevard - Tesla Supercharger",36.195978000000000,-115.13200700000000,Ioniq 6,2022,2025,with adapter
Amna,34.063190000000000,-118.23265000000000,Ioniq 5 N,2026,2026,with adapter
Norm Reeves Honda Superstore West Covina,34.070390000000000,-117.90579000000000,Ioniq 6,2022,2025,with adapter
"Diamond Bar, CA - Golden Springs Drive - Tesla Supercharger",33.999023000000000,-117.84384400000000,Ioniq 5 N,2025,2025,with adapter
Covina Hills Chevrolet,34.078031000000000,-117.89101400000000,Ioniq 6,2022,2025,with adapter
Queen of the Valley Hospital - DC Fast,34.063410270693500,-117.94577555662200,Ioniq 5,2022,2024,with adapter
Sharp Capital,34.052690000000000,-118.26533000000000,Ioniq 5 N,2026,2026,with adapter
"The Shops at Jurupa Valley (Jurupa Valley, CA)",34.011350000000000,-117.46173000000000,Ioniq 9,2026,,with adapter
"Barstow, CA",34.851349000000000,-117.08257800000000,Ioniq 5,2025,2026,with adapter
Barlow Respiratory Hospital,34.074594000000000,-118.24769900000000,Ioniq 5 N,2026,2026,with adapter
ONTARIO HYUNDAI VEHICLE DISPLY2,34.050028000000000,-117.54805700000000,Ioniq 6,2022,2025,with adapter
"Las Vegas, NV",36.066487600000000,-115.17950700000000,Ioniq 5 N,2026,2026,with adapter
"Vernon, CA - Tesla Supercharger",34.008045000000000,-118.22020100000000,Ioniq 5 N,2025,2025,with adapter
Monterey Park,34.059530000000000,-118.12661000000000,Ioniq 5 N,2025,2025,with adapter
ONTARIO HYUNDAI VEHICLE DISPLY2,34.050028000000000,-117.54805700000000,Kona Electric,2019,2025,with adapter
"Las Vegas, NV",36.066487600000000,-115.17950700000000,Ioniq 6,2026,,with adapter
L344 MB SECOND FLOOR,34.035947000000000,-118.27297300000000,Ioniq 6,2022,2025,with adapter
7Charge - Covina 22548,34.086890000000000,-117.92584000000000,Ioniq 5,2025,2026,with adapter
"Huntington Park, CA - Tesla Supercharger",33.990148000000000,-118.21634500000000,Ioniq 9,2026,,with adapter
"Gigahub Huntington Drive, Duarte, CA",34.140216000000000,-117.95962300000000,Ioniq 6,2022,2025,with adapter
"Azusa, CA - Tesla Supercharger",34.136811000000000,-117.90852900000000,Ioniq 5 N,2025,2025,with adapter
PowerStation - Rasor Rd,35.134718200000000,-116.21681310000000,Ioniq 9,2026,,with adapter
"Las Vegas, NV - East Twain Avenue - Tesla Supercharger",36.121869000000000,-115.14503000000000,Ioniq 9,2026,,with adapter
"Ralphs 715 (Monterey Park, CA)",34.066010000000000,-118.13393000000000,Ioniq 6,2026,,with adapter
Victoria Gardens,34.112867000000000,-117.53342300000000,Kona Electric,2019,2025,with adapter
Claremont Star,34.107625900000000,-117.72058890000000,Ioniq 5,2025,2026,with adapter
Thailand Plaza,34.101990000000000,-118.30639000000000,Ioniq 5,2025,2026,with adapter
"Walmart 1879 (Barstow, CA)",34.883720000000000,-116.99251000000000,Ioniq 6,2022,2025,with adapter
Resort World Las Vegas,36.135200000000000,-115.16760000000000,Ioniq 5 N,2026,2026,with adapter
"Hesperia, CA - Main Street - Tesla Supercharger",34.426362000000000,-117.35465000000000,Ioniq 5,2025,2026,with adapter
"Las Vegas, NV - East Windmill Lane - Tesla Supercharger",36.042548790000000,-115.15263582000000,Ioniq 5,2022,2024,with adapter
"Las Vegas, NV - East Windmill Lane - Tesla Supercharger",36.042548790000000,-115.15263582000000,Ioniq 6,2022,2025,with adapter
"Target T0767 (San Dimas, CA)",34.103250000000000,-117.82342000000000,Ioniq 9,2026,,with adapter
Norm Reeves Honda Superstore West Covina,34.070390000000000,-117.90579000000000,Ioniq 5 N,2025,2025,with adapter
Chase Bank - 925 N Hacienda Blvd,34.036106000000000,-117.95038500000000,Ioniq 5 N,2025,2025,with adapter
"Las Vegas, NV - South Fort Apache Road - Tesla Supercharger",36.093958000000000,-115.29710800000000,Ioniq 5,2022,2024,with adapter
"North Las Vegas, NV - East Lake Mead South Boulevard - Tesla Supercharger",36.195978000000000,-115.13200700000000,Ioniq 5 N,2026,2026,with adapter
"Walmart 1879 (Barstow, CA)",34.883720000000000,-116.99251000000000,Kona Electric,2019,2025,with adapter
FINDLAY AUTO ABB STATION1,36.143714000000000,-115.21425600000000,Ioniq 5,2022,2024,with adapter
"BOA CA9-164 (South Pasadena, CA)",34.115130000000000,-118.15129000000000,Ioniq 6,2022,2025,with adapter
"Pasadena, CA - E Glenarm St - Tesla Supercharger",34.127184000000000,-118.14776100000000,Ioniq 9,2026,,with adapter
"Alhambra, CA - Tesla Supercharger",34.087063000000000,-118.15119600000000,Ioniq 9,2026,,with adapter
KMC Norfolk,34.062387000000000,-118.20418260000000,Ioniq 5 N,2025,2025,with adapter
"Kroger Smiths 354 (Whitney, NV)",36.116670000000000,-115.09163000000000,Ioniq 6,2022,2025,with adapter
CITY_OF_VERNON 1850 E25TH-1,34.014503000000000,-118.23790700000000,Ioniq 9,2026,,with adapter
"Walmart 2886 (Pico Rivera, CA)",33.986450000000000,-118.10495000000000,Ioniq 6,2026,,with adapter
Culver City Senior Center,34.014540000000000,-118.40405000000000,Ioniq 6,2022,2025,with adapter
US Bank Jurupa Valley,34.012078600000000,-117.48206780000000,Ioniq 5 N,2026,2026,with adapter
City of Los Angeles Lot 670,34.102558000000000,-118.33434900000000,Ioniq 5,2022,2024,with adapter
"Ontario, CA - N Haven Ave - Tesla Supercharger",34.076981000000000,-117.57431100000000,Ioniq 9,2026,,with adapter
BAKER TRAVEL PLAZA,35.276756900000000,-116.05701660000000,Ioniq 5,2025,2026,with adapter
CITY_OF_VERNON 3805 SOTO-2,34.007973000000000,-118.22009600000000,Ioniq 5 N,2025,2025,with adapter
"Los Angeles, CA - Industrial Street - Tesla Supercharger",34.035783000000000,-118.23835900000000,Ioniq 6,2022,2025,with adapter
"North Las Vegas, NV - Tesla Supercharger",36.239084000000000,-115.11611700000000,Ioniq 6,2022,2025,with adapter
"IKEA 413 Los Angeles (Covina, CA)",34.074180000000000,-117.88100000000000,Kona Electric,2019,2025,with adapter
"Alhambra, CA - East Bay State St - Tesla Supercharger",34.095083000000000,-118.12393000000000,Kona Electric,2019,2025,with adapter
Hsi Lai Center,33.980510000000000,-117.97344600000000,Ioniq 6,2022,2025,with adapter
"Las Vegas, NV - West Charleston Boulevard - Tesla Supercharger",36.157865000000000,-115.33380400000000,Ioniq 5 N,2025,2025,with adapter
Central & Walnut - Tesla Supercharger,34.026990000000000,-117.68730100000000,Ioniq 6,2026,,with adapter
L516 DC01,34.034420000000000,-118.27100300000000,Ioniq 5,2025,2026,with adapter
Maine Avenue Marketplace,34.090066000000000,-117.96083110000000,Ioniq 5 N,2025,2025,with adapter
Cadillac of Las Vegas,36.143709000000000,-115.21176200000000,Ioniq 5,2025,2026,with adapter
AMPM ARCO BEAR VALLEY 1,34.470115000000000,-117.31284400000000,Ioniq 5 N,2025,2025,with adapter
"Pomona, CA - Rio Rancho Road - Tesla Supercharger",34.028502000000000,-117.76035400000000,Ioniq 6,2026,,with adapter
City of Pasadena - Shopper's Lane,34.138606025541100,-118.13112326151200,Kona Electric,2019,2025,with adapter
Overland Structure 1st Floor,34.015755000000000,-118.40349300000000,Ioniq 5 N,2026,2026,with adapter
Airport Marina Ford,33.976019000000000,-118.38478300000000,Ioniq 6,2026,,with adapter
"BoA Gateway CA8-113 (Glendale, CA)",34.126080000000000,-118.25597000000000,Ioniq 6,2022,2025,with adapter
"Walmart 3180 (South Gate, CA)",33.954180000000000,-118.18774000000000,Ioniq 6,2026,,with adapter
LADWP LA Kretz Innovation Campus,34.040460000000000,-118.23502000000000,Kona Electric,2019,2025,with adapter
Honda DTLA,34.010828320642500,-118.28703020000000,Ioniq 6,2026,,with adapter
"Walmart 3180 (South Gate, CA)",33.954180000000000,-118.18774000000000,Ioniq 5,2022,2024,with adapter
B&D PROP MGMT 2645 ST ROSE,36.014271000000000,-115.10318500000000,Ioniq 5,2025,2026,with adapter
"Westfield Century City (Los Angeles, CA)",34.057940000000000,-118.41993000000000,Ioniq 6,2022,2025,with adapter
